PROYECTO;ETAPA;MANZANA;LOTE;AREA_m2;PRECIO_CONTADO_SOLES;PRECIO_CONTADO_DOLARES;PRECIO_CONTADO_DSCTO;12_MESES_SOLES;24_MESES_SOLES;12_MESES_DOLARES;24_MESES_DOLARES
OASIS 1 (HUACHO 1);1;B;42;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;43;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;44;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;45;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;46;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;47;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;48;90;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;B;49;120;11000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;C;1;100,89;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;C;2;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;C;3;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;C;4;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;C;5;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;C;6;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;C;7;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;C;8;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;C;9;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
